SG_UE	NM_UE	CD_CARGO	DS_CARGO	SQ_CANDIDATO	NR_CANDIDATO	NM_CANDIDATO	NM_URNA_CANDIDATO
20630	LAGOA	13	VEREADOR	1,50002E+11	22222	GERUSA DE SOUSA OLIVEIRA	GERUSA
20699	LASTRO	12	VICE-PREFEITO	1,50002E+11	10	LINDOMAR JANUARIO DE ABRANTES	DOMAR DE LUIZ
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	20100	FRANKARISTON ALVES DE BRITO	FRANK
19283	SOSSÊGO	13	VEREADOR	1,50002E+11	15666	EMANUEL BARBOSA DOS SANTOS	EMANUEL
20796	MAMANGUAPE	13	VEREADOR	1,50002E+11	10123	JOÃO BELINO E SILVA NETO	NETO BELINO
22217	SOLÂNEA	13	VEREADOR	1,50002E+11	13111	ERINALDO DE ARAUJO	ERINALDO DA MORADIA
21873	SÃO JOSÉ DE CAIANA	12	VICE-PREFEITO	1,50002E+11	12	JESSICA RUANA LEITE ELOI	JESSICA DOS CHINÉLOS
21199	PAULISTA	13	VEREADOR	1,50002E+11	22220	JOAO BOSCO DE SOUSA COSTA	JOÃO BOSCO
20370	INGÁ	13	VEREADOR	1,50002E+11	77777	FABIO VINICIUS BACALHAU DE OLIVEIRA	VINICIUS BACALHAU
20290	GURINHÉM	13	VEREADOR	1,50002E+11	10999	CLAUDEVAN TRAJANO FERREIRA	CLAUDEVAN
19755	CAJAZEIRAS	13	VEREADOR	1,50002E+11	11555	ADJAILSON BEZERRA QUINTINO	NINHA DO FRIGORÍFICO
21270	PIANCÓ	13	VEREADOR	1,50002E+11	10888	MARINÊS DE PAULA DA SILVA NICOLAU	MARINÊS DE BEM TOMAZ
20710	LIVRAMENTO	13	VEREADOR	1,50002E+11	44555	GUILHERME TORRES VILAR	GUILHERME VILAR
20052	CUITEGI	13	VEREADOR	1,50002E+11	11000	JOSÉ PEREIRA DA SILVA	ZÉ OTÁVIO
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	77000	RICARDO ALEXANDRE MATIAS BEZERRA	RICARDO BEZERRA
20516	JOÃO PESSOA	13	VEREADOR	1,50002E+11	27123	THIAGO NÓBREGA DE LUCENA	THIAGO LUCENA
19739	CAIÇARA	13	VEREADOR	1,50002E+11	20444	JOSE DE ARIMATEIA DA SILVA	MATEIA
21679	SANTA HELENA	13	VEREADOR	1,50002E+11	55888	ANTONIO GOMES DA SILVA NETO	ANTONIO NETO
21032	NOVA FLORESTA	12	VICE-PREFEITO	1,50002E+11	11	CELINA LAURA SILVA OLIVEIRA	CELINA LAURA
19933	CONDE	13	VEREADOR	1,50002E+11	40222	MARCELA DE SOUSA CORDEIRO	DRA MARCELA
19259	AROEIRAS	13	VEREADOR	1,50002E+11	10456	SEVERINO ALVES DA SILVA JUNIOR	NOVO DA PESCA
22357	TEIXEIRA	13	VEREADOR	1,50002E+11	15789	JOSE CLAUDIO VIEIRA NEVES	ZÉ DO UMBU
21890	SÃO JOSÉ DE ESPINHARAS	13	VEREADOR	1,50002E+11	11888	KAMILA DA SILVA MONTEIRO NUNES	KAMILA MONTEIRO
19933	CONDE	13	VEREADOR	1,50002E+11	70222	JOSÉ CARNEIRO DO NASCIMENTO FERREIRA	DEDÉ DO CONDE
21075	NOVA PALMEIRA	13	VEREADOR	1,50002E+11	40777	ORTÍLIO SILVAN DA SILVA	MACHUDO
20753	MÃE D'ÁGUA	13	VEREADOR	1,50002E+11	13000	ANATIANE FERREIRA CABRAL	ANATIANE CABRAL
20699	LASTRO	13	VEREADOR	1,50002E+11	10000	PEDRO MARCELINO DE ALMEIDA	PEDRO DE BICÃO
19593	BREJO DOS SANTOS	13	VEREADOR	1,50002E+11	12345	GILVANDO ALVES DE MELO	BEM DE LIVACI
20419	ITAPORANGA	13	VEREADOR	1,50002E+11	10492	TÉRCIO DOS SANTOS SILVA	PROFESSOR TÉRCIO SINISTRO
20893	MOGEIRO	13	VEREADOR	1,50002E+11	13400	MARIA LUIZA DA SILVA	NENEU
21512	QUEIMADAS	13	VEREADOR	1,50002E+11	40777	DOGIVAL FERREIRA DA SILVA	DOGIVAL SILVA
20990	NATUBA	13	VEREADOR	1,50002E+11	45111	PAULO MENDES DE LIMA	PAULO DO PIRAUA
19747	PEDRO RÉGIS	13	VEREADOR	1,50002E+11	44555	PATRÍCIA DA SILVA	PATRÍCIA DE RODRIGO
20419	ITAPORANGA	13	VEREADOR	1,50002E+11	40111	ALANE LÚCIA DE OLIVEIRA SILVA SOARES	ALANE SOARES
19089	CUITÉ DE MAMANGUAPE	13	VEREADOR	1,50002E+11	77777	PEDRO CORREIA DOS SANTOS	PEDRO DO ÔNIBUS
21172	PATOS	13	VEREADOR	1,50002E+11	10258	PERLA GADELHA MEDEIROS LIMA	DRA PERLA
19054	ALAGOA GRANDE	13	VEREADOR	1,50002E+11	15666	SARA REGINA DA SILVA	SARA REGINA
19526	POÇO DE JOSÉ DE MOURA	13	VEREADOR	1,50002E+11	10666	ANTONIO MARCOS PAULINO DA SILVA	TOM DO POÇO
19658	CABEDELO	13	VEREADOR	1,50002E+11	70555	LUCAS GURGEL LOPES	LUCAS LOPES
19348	ZABELÊ	13	VEREADOR	1,50002E+11	12222	ALONCIO LENON DA SILVA	ALONCIO
21539	QUIXABA	13	VEREADOR	1,50002E+11	44466	JOSE CANDEIA LOPES	CANDEIA
21750	SANTA RITA	13	VEREADOR	1,50002E+11	44500	ERIVAM PEREIRA DA SILVA	CIDADÃO
20656	LAGOA DE DENTRO	13	VEREADOR	1,50002E+11	40111	CICERO MARINHO DOS SANTOS	CICINHO
19755	CAJAZEIRAS	13	VEREADOR	1,50002E+11	33222	ADRIANO RODRIGUES DA SILVA	ADRIANO DA VILA NOVA
19143	MATINHAS	13	VEREADOR	1,50002E+11	11222	MARCOS ANTONIO PEREIRA CALIXTO	TOIN DO BOI
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	10444	VALÉRIA SILVA ARAGÃO	VALERIA ARAGÃO
21512	QUEIMADAS	13	VEREADOR	1,50002E+11	11888	EDILEUSA MARIA SOUZA SANTOS	EDILEUSA BORGES
19755	CAJAZEIRAS	13	VEREADOR	1,50002E+11	13000	ELIZABETH RODRIGUES GOUVEIA	PROFESSOA BETINHA
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	55456	RENER DOS SANTOS RODRIGUES	RENÊ DA FARMÁCIA
20656	LAGOA DE DENTRO	13	VEREADOR	1,50002E+11	77444	SÉRGIO ALVES DOS SANTOS	SÉRGIO ALVES
19003	RIACHÃO DO POÇO	13	VEREADOR	1,50002E+11	44000	ROBERTO PEREIRA DE MESQUITA	BETO DO POSTO
20354	IMACULADA	13	VEREADOR	1,50002E+11	55222	FRANCINALDO ELIAS NUNES	PRETINHO DA PALMEIRA
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	36007	IVAN PACHU	IVAN DE CAMPINA
21474	PRINCESA ISABEL	13	VEREADOR	1,50002E+11	15000	JACKSON ANDREOTTY PEREIRA NOGUEIRA	JACKSON DE JÚNIOR MÓVEIS
20656	LAGOA DE DENTRO	13	VEREADOR	1,50002E+11	77000	GENILSON ROBERTO DA SILVA	GENILSON ROBERTO
20095	DESTERRO	13	VEREADOR	1,50002E+11	10333	FRANCISMAR BATISTA AUGUSTO	CIMAR BATISTA
20834	MARI	13	VEREADOR	1,50002E+11	20345	MARCOS SALES DE SOUZA	MARCOS SALES
21296	PICUÍ	13	VEREADOR	1,50002E+11	22333	WAGNER DOS SANTOS CABRAL LIMA	CABELUDO
19119	ALHANDRA	13	VEREADOR	1,50002E+11	40333	MARIA DA CONCEICAO OLIVEIRA DA SILVA	CONCEIÇÃO DE MATA REDONDA
19437	BOA VENTURA	13	VEREADOR	1,50002E+11	10333	AELSON BENTO DA SILVA	MEIRA BENTO
19216	AREIA	13	VEREADOR	1,50002E+11	65569	FRANCINALDO DOS SANTOS SOUZA	FRANCINALDO SANTOS
22098	SÃO VICENTE DO SERIDÓ	13	VEREADOR	1,50002E+11	44999	FABIANA FERNANDES DE FARIAS	DAIA
21059	NOVA OLINDA	12	VICE-PREFEITO	1,50002E+11	12	MANOEL VIRGOLINO DE ARAUJO	DEUSELEITE
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	10222	JOSÉ CLAUDIANO NETO	JUNINHO CLAUDIANO
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	40777	RICARDO ALEXANDRE DE MELO ALMEIDA	RICARDO ALMEIDA
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	36555	TALES PEREIRA DE ALBUQUERQUE	TALES ALBUQUERQUE
22039	SÃO SEBASTIÃO DE LAGOA DE ROÇA	13	VEREADOR	1,50002E+11	45555	WASHINGTON GONÇALVES DE QUEIROZ	WASHINGTON GONÇALVES
20796	MAMANGUAPE	13	VEREADOR	1,50002E+11	18999	JOSE FELIPE DE BRITO	FELIPE BRITO
20516	JOÃO PESSOA	13	VEREADOR	1,50002E+11	55111	SERGIO RICARDO GOMES DE ARAUJO	SERGIO RICARDO
20516	JOÃO PESSOA	13	VEREADOR	1,50002E+11	12999	JOSIMAR PONTES DE ARAUJO	JOSIMAR OTICA O BARATA
20516	JOÃO PESSOA	13	VEREADOR	1,50002E+11	55147	SAMUEL PAULINO RODRIGUES MACIEL	SAMUEL PAULINO
20516	JOÃO PESSOA	13	VEREADOR	1,50002E+11	30777	BRUNO CAVALCANTI DE ARRUDA	BRUNO ARRUDA
21253	PEDRAS DE FOGO	13	VEREADOR	1,50002E+11	40222	CLEOFAS FERREIRA CAJU	CAJÚ DO MST
20273	GUARABIRA	13	VEREADOR	1,50002E+11	40234	LEANDRO MARINHO SOARES	LÉO MARINHO
20451	ITATUBA	13	VEREADOR	1,50002E+11	11333	MARIA SILVONE ALEXANDRE PEREIRA ALVES	SILVONE
20850	MASSARANDUBA	13	VEREADOR	1,50002E+11	44567	ADMA CLÉCIA RODRIGUES ANDRADE SANTOS	CLÉCIA
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	65255	CARLOS ALBERTO DE ALMEIDA AMORIM	PEBA DE FRANCISCA
20974	MULUNGU	13	VEREADOR	1,50002E+11	40555	WANDENBERG JOSE DA SILVA	BERG DE ZEZÉ
22411	UMBUZEIRO	13	VEREADOR	1,50002E+11	40222	MICHEL MEDEIROS BARBOSA	MICHEL MEDEIROS
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	77789	PAULO FERREIRA DA SILVA	FORMIGA BOXE
19933	CONDE	13	VEREADOR	1,50002E+11	18123	PETSON DE SOUZA SILVA	PETSON
19186	SERTÃOZINHO	13	VEREADOR	1,50002E+11	40444	AERIC CHARLES DE MACEDO	AERIC VIDAL
20958	MONTEIRO	13	VEREADOR	1,50002E+11	65555	IVONETE ALVES DA SILVA	IVONE DO SORVETE
19607	CASSERENGUE	13	VEREADOR	1,50002E+11	45222	CRISTOVÃO MOREIRA DANTAS	CRISTOVÃO DE NOZINHO
19038	AGUIAR	13	VEREADOR	1,50002E+11	40456	ANTONIO JÚNIOR MAIA DANTAS	JÚNIOR MAIA
19402	SÃO BENTINHO	13	VEREADOR	1,50002E+11	11222	ELISANGELA NASCIMENTO TRIGUEIRO	ELISANGELA TRIGUEIRO
19984	MATURÉIA	13	VEREADOR	1,50002E+11	10777	OZIVANIA BENTO DA SILVA	VANIA BENTO
19020	SOBRADO	13	VEREADOR	1,50002E+11	12000	MANOEL FERREIRA BANDEIRA	MANEZINHO
20516	JOÃO PESSOA	13	VEREADOR	1,50002E+11	55777	MAURICÉLIA MARQUES DA COSTA	CÉLIA MARQUES 
20478	JACARAÚ	13	VEREADOR	1,50002E+11	13111	ERIKA ALVINO DA SILVA	ERIKA ALVINO
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	55888	ADILMA BATISTA DA SILVA RODRIGUES	ADILMA BATISTA
21610	SALGADINHO	13	VEREADOR	1,50002E+11	55678	GENILDO DUARTE DE MACEDO	GENILDO MACEDO
19321	ASSUNÇÃO	11	PREFEITO	1,50002E+11	20	JOSÉ ROBERTO SANTOS NASCIMENTO	ROBERTO DE RITA
19194	ARARUNA	13	VEREADOR	1,50002E+11	25111	GIVANILDO DA SILVA COSTA	GIL COSTA
22373	TRIUNFO	13	VEREADOR	1,50002E+11	10222	FRANCISCA FRANCILENE GONÇALVES CESARIO	TILENE
19844	APARECIDA	13	VEREADOR	1,50002E+11	11222	JOSÉ CARLOS DA SILVA	DEDÉ DA SILVA
22217	SOLÂNEA	13	VEREADOR	1,50002E+11	13456	JOÃO MARQUES DOS SANTOS	JOÃO MARCOS
19178	ARARA	13	VEREADOR	1,50002E+11	15313	FERNANDO JOSÉ DE ASSIS MOTA	MOTA REFRIGERAÇÃO
19852	CATINGUEIRA	13	VEREADOR	1,50002E+11	15222	EDEMIR JERONIMO DOS SANTOS	EDEMIR
21954	SÃO JOSÉ DO SABUGI	13	VEREADOR	1,50002E+11	15222	FRANCISCO VINICIO DA SILVA ARAÚJO	VINICIO
20516	JOÃO PESSOA	13	VEREADOR	1,50002E+11	12333	JOÃO ALMEIDA DE CARVALHO JUNIOR	JOÃO ALMEIDA
19402	SÃO BENTINHO	13	VEREADOR	1,50002E+11	10555	NIVANIA DA SILVA TRIGUEIRO PEREIRA	NIVANIA
22411	UMBUZEIRO	11	PREFEITO	1,50002E+11	15	RONALDO BARBOSA DE AGUIAR DA SILVA	RONALDO DE CHAPARRAL
20737	LUCENA	13	VEREADOR	1,50002E+11	44456	JOCELENE ELEOTERIO DA SILVA	JOJO 
20516	JOÃO PESSOA	13	VEREADOR	1,50002E+11	22190	RUI DA SILVA NOBREGA	SARGENTO RUI
22098	SÃO VICENTE DO SERIDÓ	13	VEREADOR	1,50002E+11	11888	JOILMA DE SOUZA RAMOS FAGUNDES	JOILMA DE INÁCIO FAGUNDES
19275	DAMIÃO	13	VEREADOR	1,50002E+11	44000	JOSÉ ARIMATEIA DE ANDRADE	TEIA CANÁRIO
22071	SAPÉ	13	VEREADOR	1,50002E+11	40000	THAYSE DANTAS DA SILVA	THAYSE DANTAS
19534	IGARACY	13	VEREADOR	1,50002E+11	10111	ANTONIO VITAL DE QUEIROZ	KADÓ
20591	JURIPIRANGA	13	VEREADOR	1,50002E+11	40555	ROBERTA BARBOSA DA SILVA	ROBERTA DE JONAS DO PORCO
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	15999	VALDEMIR INACIO ALVES COSTA	VALDEMIR COSTA
21750	SANTA RITA	13	VEREADOR	1,50002E+11	45144	DIOGENES DE SOUZA GERONIMO	DIOGENES GERONIMO
21458	PRATA	12	VICE-PREFEITO	1,50002E+11	77	ANTONIO ALEXANDRE GONÇALVES DA SILVA	ALEXANDRE MOZA
19356	BARRA DE SÃO MIGUEL	13	VEREADOR	1,50002E+11	10000	RIVELINO GUIMARAES PEREIRA	RIVA
19607	CASSERENGUE	13	VEREADOR	1,50002E+11	13234	JEFFERSON FERREIRA DE AMORIM	JEFFERSON DA RAÇÃO
19755	CAJAZEIRAS	13	VEREADOR	1,50002E+11	15456	RODRIGO LIRA DAMASCENA	RODRIGO LIRA
19259	AROEIRAS	13	VEREADOR	1,50002E+11	11555	ANA BÁRBARA BARBOSA DA FONSECA	BÁRBARA DE ANTÔNIO HONORATO
19100	CURRAL DE CIMA	13	VEREADOR	1,50002E+11	11456	WEDSON FERREIRA DE ABREU	TATÁ DA OFICINA
21954	SÃO JOSÉ DO SABUGI	13	VEREADOR	1,50002E+11	44601	JOELSON DOS SANTOS ALVES	JOELSON
20877	MATARACA	13	VEREADOR	1,50002E+11	10555	MANOEL PEREIRA SALUSTIANO	MANOEL
19704	COXIXOLA	13	VEREADOR	1,50002E+11	44444	LÙCIA LARYSSA FARIAS NEVES	LARYSSA DE XANDA
19593	BREJO DOS SANTOS	13	VEREADOR	1,50002E+11	40456	LIDISMAR VIEIRA DA SILVA	LEIDISMAR DE BUNZUMBAO
21890	SÃO JOSÉ DE ESPINHARAS	11	PREFEITO	1,50002E+11	11	THAISE GOMES DE SOUSA	THAISE DE EDJANE
19763	ALCANTIL	13	VEREADOR	1,50002E+11	20444	JOSE JANIO DE SOUSA	JÂNIO DE BARRA DE AROEIRAS
19879	CATOLÉ DO ROCHA	13	VEREADOR	1,50002E+11	44000	CLEVERLANDO DA SILVA BARRETO	CLEVERLANDO BARRETO
22276	SUMÉ	11	PREFEITO	1,50002E+11	40	FRANCISCO DUARTE DA SILVA NETO	DR NETO
19259	AROEIRAS	13	VEREADOR	1,50002E+11	10333	RÔMULO PEREIRA DA SILVA	RÔMULO DA VAN
20435	ITAPOROROCA	13	VEREADOR	1,50002E+11	40777	KELLE CRISTINA DOS SANTOS	KELLE DE FRANZÉ
19348	ZABELÊ	13	VEREADOR	1,50002E+11	12123	CICERA BELARMINO DOS SANTOS	CICERA CABRAL
22438	VÁRZEA	13	VEREADOR	1,50002E+11	10123	FRANCISCO LINDEILDO DE ARAUJO	TICO
20915	MONTADAS	13	VEREADOR	1,50002E+11	55244	JOSE DA VITORIA PAZ DOS SANTOS	NALDO BICIMOTOS
19402	SÃO BENTINHO	12	VICE-PREFEITO	1,50002E+11	10	JANNILSON DE SOUSA DANTAS	JANNILSON DANTAS
19755	CAJAZEIRAS	13	VEREADOR	1,50002E+11	33999	LUZIA TRAJANO DE SOUZA	LUZIA TRAJANO
21555	REMÍGIO	13	VEREADOR	1,50002E+11	43444	MARCELA IRINA ALBUQUERQUE BATISTA DE ARAUJO	MARCELA DE DR RAIMUNDO
20370	INGÁ	13	VEREADOR	1,50002E+11	55000	ROSICLEIA SOBRAL DE MOURA LIMA	KEL BRONZE
20915	MONTADAS	13	VEREADOR	1,50002E+11	55155	SUENIA SUZY DE LIMA	SUENIA SUZY
19364	CACIMBAS	13	VEREADOR	1,50002E+11	10122	EDIJAN MARQUES DE LIMA	DIJA DE INACINHO
21490	PUXINANÃ	13	VEREADOR	1,50002E+11	15123	MARIA DA CONCEIÇÃO CUNHA DOS SANTOS	MARIA DE DODA
19828	RIACHO DE SANTO ANTÔNIO	13	VEREADOR	1,50002E+11	22222	CICERO ROMÃO DO NASCIMENTO	ALZINHO
19291	BAÍA DA TRAIÇÃO	13	VEREADOR	1,50002E+11	40777	JOSÉ BERNARDINO DOS SANTOS FILHO	BERNARDO BAR
21512	QUEIMADAS	13	VEREADOR	1,50002E+11	20100	GERLANE BATISTA DA SILVA	GERLANE SILVA
19500	BERNARDINO BATISTA	13	VEREADOR	1,50002E+11	15123	AURÉLIO BARBOSA DE OLIVEIRA	AURÉLIO BARBOSA
20095	DESTERRO	13	VEREADOR	1,50002E+11	10222	DIEGO GOMES DE MEDEIROS	DIEGO MEDEIROS
22217	SOLÂNEA	13	VEREADOR	1,50002E+11	10777	ALEXSANDRO TOMAZ DA SILVA	ALEX
19470	BOM SUCESSO	13	VEREADOR	1,50002E+11	44777	SUELY ISMAEL DA SILVA	SUELY DE ZÉ
19518	BOQUEIRÃO	11	PREFEITO	1,50002E+11	10	EDILSON RODRIGUES BARBOSA	EDILSON DO TOMATE
21512	QUEIMADAS	13	VEREADOR	1,50002E+11	11111	CLAUDIO ALBUQUERQUE LEMOS	CLÁUDIO
22373	TRIUNFO	11	PREFEITO	1,50002E+11	40	ESPEDITO CEZARIO DE FREITAS FILHO	ESPEDITO FILHO
20214	ESPERANÇA	13	VEREADOR	1,50002E+11	11121	HILDEMARA ARAUJO LIRA	HILDEMARA
21253	PEDRAS DE FOGO	13	VEREADOR	1,50002E+11	15444	ALINE RAMALHO DOS SANTOS	ALINE RAMALHO
21610	SALGADINHO	13	VEREADOR	1,50002E+11	55555	MILTON POSSIDÔNIO DO MAIA	MILTON POSSIDÔNIO
21393	PITIMBU	13	VEREADOR	1,50002E+11	12444	JOÃO BATISTA PINTO DE ARAÚJO SILVA	DEDÉ
19399	BELÉM	13	VEREADOR	1,50002E+11	77111	ADRIANO MIGUEL GOUVEIA DE LIMA	PROFESSOR ADRIANO MIGUEL
20516	JOÃO PESSOA	13	VEREADOR	1,50002E+11	70222	MARIA LUSIARA COSTA GUIMARÃES	YARA GUIMARÃES
